t,accuracy,recall,precision,false_positive_rate,f1_score
50,0.625,1.0,0.625,1.0,0.7692307692307693
51,0.75,1.0,0.7142857142857143,0.6666666666666666,0.8333333333333333
52,0.75,1.0,0.7142857142857143,0.6666666666666666,0.8333333333333333
53,0.875,1.0,0.8333333333333334,0.3333333333333333,0.9090909090909091
54,0.875,1.0,0.8333333333333334,0.3333333333333333,0.9090909090909091
55,0.875,1.0,0.8333333333333334,0.3333333333333333,0.9090909090909091
56,0.875,1.0,0.8333333333333334,0.3333333333333333,0.9090909090909091
57,0.875,1.0,0.8333333333333334,0.3333333333333333,0.9090909090909091
58,0.875,1.0,0.8333333333333334,0.3333333333333333,0.9090909090909091
59,0.875,1.0,0.8333333333333334,0.3333333333333333,0.9090909090909091
60,0.875,1.0,0.8333333333333334,0.3333333333333333,0.9090909090909091
61,0.875,1.0,0.8333333333333334,0.3333333333333333,0.9090909090909091
62,0.875,1.0,0.8333333333333334,0.3333333333333333,0.9090909090909091
63,0.875,1.0,0.8333333333333334,0.3333333333333333,0.9090909090909091
64,0.875,1.0,0.8333333333333334,0.3333333333333333,0.9090909090909091
65,0.875,1.0,0.8333333333333334,0.3333333333333333,0.9090909090909091
66,1.0,1.0,1.0,0.0,1.0
67,1.0,1.0,1.0,0.0,1.0
68,1.0,1.0,1.0,0.0,1.0
69,1.0,1.0,1.0,0.0,1.0
70,1.0,1.0,1.0,0.0,1.0
71,1.0,1.0,1.0,0.0,1.0
72,1.0,1.0,1.0,0.0,1.0
73,1.0,1.0,1.0,0.0,1.0
74,1.0,1.0,1.0,0.0,1.0
75,0.875,0.8,1.0,0.0,0.888888888888889
76,0.875,0.8,1.0,0.0,0.888888888888889
77,0.875,0.8,1.0,0.0,0.888888888888889
78,0.875,0.8,1.0,0.0,0.888888888888889
79,0.875,0.8,1.0,0.0,0.888888888888889
80,0.875,0.8,1.0,0.0,0.888888888888889
81,0.875,0.8,1.0,0.0,0.888888888888889
82,0.875,0.8,1.0,0.0,0.888888888888889
83,0.875,0.8,1.0,0.0,0.888888888888889
84,0.875,0.8,1.0,0.0,0.888888888888889
85,0.875,0.8,1.0,0.0,0.888888888888889
86,0.875,0.8,1.0,0.0,0.888888888888889
87,0.875,0.8,1.0,0.0,0.888888888888889
88,0.875,0.8,1.0,0.0,0.888888888888889
89,0.875,0.8,1.0,0.0,0.888888888888889
90,0.875,0.8,1.0,0.0,0.888888888888889
